concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/adlib-location/location-type/loant,Tijdelijke bruikleen,"
","
",https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/location-type/onbek,Onbekend,"
","
",https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/location-type/opstel,Permanente opstelling,"
",http://vocab.getty.edu/aat/300311710,https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/location-type/opstelt,Tijdelijke opstelling,"
","
",https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/location-type/publnot,Niet-publieke ruimte,"
","
",https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/location-type/transit,Transit,"
","
",https://data.antwerp.be/id/term/adlib-location/location-type
https://data.antwerp.be/id/term/adlib-location/package-location/location,Lokatie,"
",http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-location/package-location
https://data.antwerp.be/id/term/adlib-location/package-location/package,Verpakking,"
",http://vocab.getty.edu/aat/300404445,https://data.antwerp.be/id/term/adlib-location/package-location
https://data.antwerp.be/id/term/adlib-people/gender,Geslacht,"
","
",https://data.antwerp.be/id/term/adlib-people
https://data.antwerp.be/id/term/adlib-people/name-status,Naam status,"
","
",https://data.antwerp.be/id/term/adlib-people
https://data.antwerp.be/id/term/adlib-people/name-type,Naam soort,"
","
",https://data.antwerp.be/id/term/adlib-people
https://data.antwerp.be/id/term/adlib-people/gender/female,Vrouw,"
",http://vocab.getty.edu/aat/300189557,https://data.antwerp.be/id/term/adlib-people/gender
https://data.antwerp.be/id/term/adlib-people/gender/male,Man,"
",http://vocab.getty.edu/aat/300189559,https://data.antwerp.be/id/term/adlib-people/gender
https://data.antwerp.be/id/term/adlib-people/gender/unknown,Niet gekend,"
",http://vocab.getty.edu/aat/300379012,https://data.antwerp.be/id/term/adlib-people/gender
https://data.antwerp.be/id/term/adlib-people/name-status/0,Niet gedefinieerd,"
",http://vocab.getty.edu/aat/300379012,https://data.antwerp.be/id/term/adlib-people/name-status
https://data.antwerp.be/id/term/adlib-people/name-status/1,Goedgekeurd,"
","
",https://data.antwerp.be/id/term/adlib-people/name-status
https://data.antwerp.be/id/term/adlib-people/name-status/3,Kandidaat,"
","
",https://data.antwerp.be/id/term/adlib-people/name-status
https://data.antwerp.be/id/term/adlib-people/name-status/7,"Goedgekeurd, geen URI","
","
",https://data.antwerp.be/id/term/adlib-people/name-status
https://data.antwerp.be/id/term/adlib-people/name-status/8,Niet-voorkeursterm,"
",http://vocab.getty.edu/aat/300264273,https://data.antwerp.be/id/term/adlib-people/name-status
https://data.antwerp.be/id/term/adlib-people/name-type/acquisitionsource,Verwervingsbron,"
","
",https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/auctioneer,Veilingmeester,"
",http://vocab.getty.edu/aat/300025208,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/author,Auteur,"
",http://vocab.getty.edu/aat/300025492,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/collect,Collectioneur,"
",http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/corporate,Bedrijf,"
",http://vocab.getty.edu/aat/300445020,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/curator,Curator,"
",http://vocab.getty.edu/aat/300025633,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/donor,Donor,"
",http://vocab.getty.edu/aat/300025240,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/family,Familie,"
",http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/illus,Illustrator,"
",http://vocab.getty.edu/aat/300025123,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/inst,Instelling,"
",http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/maker,Vervaardiger,"
",http://vocab.getty.edu/aat/300251917,https://data.antwerp.be/id/term/adlib-people/name-type
https://data.antwerp.be/id/term/adlib-people/name-type/perskeyw,Personlijk trefwoord,"
","
",https://data.antwerp.be/id/term/adlib-people/name-type
