edgeid,name,description,ontologyproperty,domainnode_id,rangenode_id,graph_id
1048503a-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,1048021a-f006-11ed-9655-00163e71351b,10480602-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
104851b6-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end,10480602-f006-11ed-9655-00163e71351b,1048072e-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
1048529c-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin,10480602-f006-11ed-9655-00163e71351b,1048081e-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
10485382-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P17_was_motivated_by,1048021a-f006-11ed-9655-00163e71351b,104808fa-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
1048545e-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,104808fa-f006-11ed-9655-00163e71351b,10480fa8-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
10485530-f006-11ed-9655-00163e71351b,,,http://www.w3.org/2000/01/rdf-schema#label,104808fa-f006-11ed-9655-00163e71351b,104809d6-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
10485616-f006-11ed-9655-00163e71351b,,,http://www.w3.org/2000/01/rdf-schema#label,10480fa8-f006-11ed-9655-00163e71351b,10480aa8-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
104856f2-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,1048021a-f006-11ed-9655-00163e71351b,10480b84-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
104857ce-f006-11ed-9655-00163e71351b,,,http://www.w3.org/2000/01/rdf-schema#label,10480b84-f006-11ed-9655-00163e71351b,10480c4c-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
104858aa-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,10480b84-f006-11ed-9655-00163e71351b,10480d1e-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
10485986-f006-11ed-9655-00163e71351b,,,http://www.w3.org/2000/01/rdf-schema#label,10480d1e-f006-11ed-9655-00163e71351b,10480df0-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
10485a58-f006-11ed-9655-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,1048021a-f006-11ed-9655-00163e71351b,10480ed6-f006-11ed-9655-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
2429db13-9f3b-4832-b715-984a695edd78,,,http://www.cidoc-crm.org/cidoc-crm/P67_refers_to,2e35a87e-f004-11ed-a1e6-00163e71351b,4f5b7b48-f007-11ed-9064-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
2d6bdb16-f009-11ed-9232-00163e71351b,,,http://www.w3.org/2000/01/rdf-schema#label,2d6ba542-f009-11ed-9232-00163e71351b,2d6ba290-f009-11ed-9232-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
2d6bdc56-f009-11ed-9232-00163e71351b,,,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,2d6b9944-f009-11ed-9232-00163e71351b,2d6ba3e4-f009-11ed-9232-00163e71351b,fa952d08-dd27-11ed-9655-00163e71351b
